,NIS,Woonplaats,Mannen,Vrouwen,inhabitants
154,24055,Kortenberg,9977.0,10312.0,20289.0
155,24059,Landen,7875.0,8221.0,16096.0
156,24062,Leuven,51326.0,50949.0,102275.0
157,24066,Lubbeek,7244.0,7312.0,14556.0
158,24086,Oud-Heverlee,5517.0,5571.0,11088.0
159,24094,Rotselaar,8449.0,8575.0,17024.0
160,24104,Tervuren,11050.0,11658.0,22708.0
161,24107,Tienen,17076.0,18217.0,35293.0
162,24109,Tremelo,7418.0,7499.0,14917.0
163,24130,Zoutleeuw,4218.0,4357.0,8575.0
164,24133,Linter,3615.0,3656.0,7271.0
165,24134,Scherpenheuvel-Zichem,11416.0,11662.0,23078.0
166,24135,Tielt-Winge,5389.0,5394.0,10783.0
167,24137,Glabbeek,2625.0,2696.0,5321.0
168,25000,Arrondissement Nijvel,197034.0,208985.0,406019.0
169,25005,Bevekom,3556.0,3649.0,7205.0
170,25014,Eigenbrakel,19334.0,20836.0,40170.0
171,25015,Kasteelbrakel,5117.0,5431.0,10548.0
172,25018,Chaumont-Gistoux,5694.0,5937.0,11631.0
173,25023,Court-Saint-Etienne,5189.0,5400.0,10589.0
174,25031,Genepiën,7662.0,7898.0,15560.0
175,25037,Graven,6793.0,7080.0,13873.0
176,25043,Incourt,2708.0,2814.0,5522.0
177,25044,Itter,3395.0,3562.0,6957.0
178,25048,Geldenaken,7028.0,7329.0,14357.0
179,25050,Terhulpen,3565.0,3877.0,7442.0
180,25068,Mont-Saint-Guibert,3905.0,3991.0,7896.0
181,25072,Nijvel,13671.0,15212.0,28883.0
182,25084,Perwijs (Nijvel),4601.0,4860.0,9461.0
183,25091,Rixensart,10789.0,11864.0,22653.0
184,25105,Tubeke,13006.0,13650.0,26656.0
185,25107,Villers-la-Ville,5348.0,5420.0,10768.0
186,25110,Waterloo,14441.0,15935.0,30376.0
187,25112,Waver,16658.0,18090.0,34748.0
188,25117,Chastre,3805.0,3880.0,7685.0
189,25118,Hélécine,1811.0,1833.0,3644.0
190,25119,Lasne,6967.0,7290.0,14257.0
191,25120,Orp-Jauche,4412.0,4569.0,8981.0
192,25121,Ottignies-Louvain-la-Neuve,15232.0,16084.0,31316.0
193,25122,Ramillies,3266.0,3282.0,6548.0
