date,age,dose,VOC,e_s,e_i,e_h
2022-10-03,"[85, 120)",full,delta,0.21408818623628736,0.09043819062384205,0.5623582699210965
2022-10-03,"[85, 120)",full,omicron,0.002252551694698347,0.046775400315260285,0.1773281431363387
2022-10-03,"[85, 120)",boosted,WT,0.43620791688804234,0.2724399887654762,0.6722463741325867
2022-10-03,"[85, 120)",boosted,abc,0.43620791688804234,0.2724399887654762,0.6722463741325867
2022-10-03,"[85, 120)",boosted,delta,0.33084968023633554,0.17029654261318478,0.6722463741325867
2022-10-03,"[85, 120)",boosted,omicron,0.0006537822587518069,0.046901374709094876,0.19878950371102488
2022-10-10,"[0, 12)",none,WT,0.0,0.0,0.0
2022-10-10,"[0, 12)",none,abc,0.0,0.0,0.0
2022-10-10,"[0, 12)",none,delta,0.0,0.0,0.0
2022-10-10,"[0, 12)",none,omicron,0.0,0.0,0.0
2022-10-10,"[0, 12)",partial,WT,0.08321997843754536,0.059306191530204735,0.08991583877160073
2022-10-10,"[0, 12)",partial,abc,0.08321997843754536,0.059306191530204735,0.08991583877160073
2022-10-10,"[0, 12)",partial,delta,0.07556756662719635,0.03634895609915774,0.08991583877160073
2022-10-10,"[0, 12)",partial,omicron,0.004782757381468125,0.021044132478459744,0.06313239743537924
2022-10-10,"[0, 12)",full,WT,0.4290304237677308,0.2678848374921907,0.6647757983310407
2022-10-10,"[0, 12)",full,abc,0.4290304237677308,0.2678848374921907,0.6647757983310407
2022-10-10,"[0, 12)",full,delta,0.3304453541627067,0.14599178742904395,0.6647757983310407
2022-10-10,"[0, 12)",full,omicron,0.006648791611741261,0.07852586457527629,0.27451666079613146
2022-10-10,"[0, 12)",boosted,WT,0.657220245243574,0.44448954824288556,0.8191064677103278
2022-10-10,"[0, 12)",boosted,abc,0.657220245243574,0.44448954824288556,0.8191064677103278
2022-10-10,"[0, 12)",boosted,delta,0.5599763985082337,0.25673940580661736,0.8191064677103278
2022-10-10,"[0, 12)",boosted,omicron,0.03900727351398932,0.15620667948878958,0.48377355570404945
2022-10-10,"[12, 18)",none,WT,0.0,0.0,0.0
2022-10-10,"[12, 18)",none,abc,0.0,0.0,0.0
2022-10-10,"[12, 18)",none,delta,0.0,0.0,0.0
2022-10-10,"[12, 18)",none,omicron,0.0,0.0,0.0
2022-10-10,"[12, 18)",partial,WT,0.08307313848521289,0.059201546966473555,0.08975718411045991
2022-10-10,"[12, 18)",partial,abc,0.08307313848521289,0.059201546966473555,0.08975718411045991
2022-10-10,"[12, 18)",partial,delta,0.07543422919921632,0.03628481910848379,0.08975718411045991
2022-10-10,"[12, 18)",partial,omicron,0.0047743183037478685,0.021007000536490617,0.06302100160947186
2022-10-10,"[12, 18)",full,WT,0.4286840170264254,0.2676274377345486,0.6645151511620999
2022-10-10,"[12, 18)",full,abc,0.4286840170264254,0.2676274377345486,0.6645151511620999
2022-10-10,"[12, 18)",full,delta,0.3301153864719202,0.1458315685488854,0.6645151511620999
2022-10-10,"[12, 18)",full,omicron,0.006633404346079164,0.07843296325372934,0.2742407420553489
