,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown
,Sectoral output (M€/y),Intermediate demand (M€/y),Intermediate use (M€/y),Household demand (M€/y),Total other demand (M€/y),Other demand - government (M€/y),Other demand - exports (M€/y),Other demand - others (M€/y),Taxes minus subsidies (M€/y),Consumption fixed capital (M€/y),Imports (M€/y),Operating surplus and mixed income (M€/y),Gross value added (M€/y),Gross domestic product i (M€/y),Labor compensation (M€/y),Employees (x1000),Desired stock (days),On-site consumption (-),Consumer demand shock (%),Other demand shock (%),Telework (%),Mix (%),Workplace (%),Absent (%)
78,7661.36858443909,7611.86858443909,848.273543102545,0,49.5,0,49.5,0,-1004.79085379511,89.4921887015564,257.4,327.904139791577,6355.93616158732,5351.14530779221,6943.3306868893,218.6,3.32371600991931,0,0,-29,0,0,100,0
79,3225.45371209124,438.55371209124,2546.1829787976,2770.3,16.6,0,16.6,0,-7.47453886194566,55.6216540791389,5.5,120.407134440684,533.30273291749,525.828194055545,364.748483259613,8.6,3.32371600991931,0,0,-29,0,0,100,0
80-82,13998.9929541284,9909.95514870135,6074.37557407746,1713.78,2375.25780542702,0,2026.1,349.157805427016,-1606.944019272,1223.72872610321,2046.7,995.20072132044,6154.53716103182,4547.59314175982,5542.55173288017,215.3,3.32371600991931,0,0,-29,0,0,100,0
84,33807.1985834772,786.098583477186,5641.77084923982,2729.1,30292,28718.3,1573.7,0,-237.795269678951,2607.90204856282,99.8,-0.000213203518172,26052.4042702148,25814.6090005358,23682.2977045344,435.5,3.32371600991931,1,0,-1,0,0,100,0
85,27168.2236672662,1731.16366726616,3112.98280832004,1212.16,24224.9,23809.9,97.9,317.1,-147.359488277104,2447.11955907589,29.9,140.194618424084,23607.3236149445,23459.9641266674,21167.3689257216,402.3,3.32371600991931,1,0,-2,0,0,100,0
86,32664.7391306845,3750.13913068452,14047.1886985435,6366.3,22548.3,22540.3,8,0,-902.720170813611,2173.02683388882,19,4584.68412786829,16117.7221554707,15215.0019846571,10262.7313645272,325.6,3.32371600991931,0,0,1,0,0,100,0
87-88,15209.2,0,3117.84678162247,6652.6,8556.6,6922,0,1634.6,-1371.77683316582,775.668411133056,0,341.617845017583,11373.2108422665,10001.4340091007,11627.7014192817,306.9,3.32371600991931,0,0,1,0,0,100,0
90-92,4913.76127265032,1044.91406108787,2077.08383364564,1982.54570325696,1886.30150830549,1112.6,406.29549453746,367.40601376803,55.4691662707347,337.462173548593,389.4,459.778947130882,2131.67190688764,2187.14107315837,1278.96161993743,25.5,3.32371600991931,1,-80,-10,9.32870757768551,3.10609220165249,12.890258286115,0.793475594800098
93,2868.60380858365,1121.87380858365,1450.72309440685,961.13,785.6,617.7,96.9,71,-210.162410118092,248.235032798986,16.9,465.642666444687,1125.25457715342,915.092167035328,621.539288027839,20.7,3.32371600991931,1,-80,-10,9.32870757768551,3.10609220165249,12.890258286115,0.793475594800098
94,6230.73995131247,3025.33995131247,2453.72729732537,115.3,3090.1,0,164.6,2925.5,-20.7254812992587,265.096354338205,36.8,-3.93758148367612,2677.07950926363,2656.35402796437,2436.64621770836,45.4,3.32371600991931,1,-80,-10,9.32870757768551,3.10609220165249,12.890258286115,0.793475594800098
95,1056.70955534705,447.029555347051,257.541993814801,581.68,28,0,28,0,2.7579537584027,57.7134852457179,608.4,177.145156736852,343.600803585626,346.358757344029,105.984207844653,6.2,3.32371600991931,1,-80,-10,9.32870757768551,3.10609220165249,12.890258286115,0.793475594800098
96,3640.08652375696,391.326523756961,1249.09789632882,3241.36,7.4,0,7.4,0,-43.3128572925114,271.602316132356,98.4,1138.49042078385,1986.31016257305,1942.99730528054,619.53028294936,67.8,3.32371600991931,1,-80,-10,9.32870757768551,3.10609220165249,12.890258286115,0.793475594800098
97-98,424.5,0,0,424.5,0,0,0,0,0,0,0,-7.94137008597318E-07,424.5,424.5,424.500000794137,40.1,3.32371600991931,1,-80,-32,28.5599934454537,4.38940245643294,29.9138066697949,4.76500691885917
