date,age,dose,VOC,e_s,e_i,e_h
2021-01-11,"[25, 35)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-11,"[25, 35)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[35, 45)",partial,WT,0.4307911403949886,0.3070005828102218,0.0613475329623622
2021-01-11,"[35, 45)",partial,abc,0.4307911403949886,0.3070005828102218,0.0613475329623622
2021-01-11,"[35, 45)",partial,delta,0.39117816196786326,0.1881616475288456,0.12276749512538852
2021-01-11,"[35, 45)",partial,omicron,0.024758111516953372,0.10893569067459483,0.309793805648032
2021-01-11,"[35, 45)",full,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[35, 45)",full,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[35, 45)",full,delta,0.79,0.38,0.714285714285714
2021-01-11,"[35, 45)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-11,"[35, 45)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[35, 45)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[35, 45)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-11,"[35, 45)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[45, 55)",partial,WT,0.43006220125645145,0.3064811089413792,0.061243727164991435
2021-01-11,"[45, 55)",partial,abc,0.43006220125645145,0.3064811089413792,0.061243727164991435
2021-01-11,"[45, 55)",partial,delta,0.39051625171562837,0.18784326031890983,0.1225597609736253
2021-01-11,"[45, 55)",partial,omicron,0.02471621846301445,0.10875136123726359,0.3092696053833604
2021-01-11,"[45, 55)",full,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[45, 55)",full,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[45, 55)",full,delta,0.79,0.38,0.714285714285714
2021-01-11,"[45, 55)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-11,"[45, 55)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[45, 55)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[45, 55)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-11,"[45, 55)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[55, 65)",partial,WT,0.42938145990961424,0.3059959829240929,0.06114678505477151
2021-01-11,"[55, 65)",partial,abc,0.42938145990961424,0.3059959829240929,0.06114678505477151
