date,age,dose,CUMULATIVE,INCIDENCE
2021-03-15,"[75, 85)",E,0.0,0.0
2021-03-15,"[85, 120)",A,156201.0,77616.0
2021-03-15,"[85, 120)",B,83142.0,4207.0
2021-03-15,"[85, 120)",C,0.0,0.0
2021-03-15,"[85, 120)",E,0.0,0.0
2021-03-22,"[0, 12)",A,0.0,0.0
2021-03-22,"[0, 12)",B,0.0,0.0
2021-03-22,"[0, 12)",C,0.0,0.0
2021-03-22,"[0, 12)",E,0.0,0.0
2021-03-22,"[12, 18)",A,1291.0,107.0
2021-03-22,"[12, 18)",B,842.0,116.0
2021-03-22,"[12, 18)",C,0.0,0.0
2021-03-22,"[12, 18)",E,0.0,0.0
2021-03-22,"[18, 25)",A,64486.0,3529.0
2021-03-22,"[18, 25)",B,30494.0,4093.0
2021-03-22,"[18, 25)",C,0.0,0.0
2021-03-22,"[18, 25)",E,0.0,0.0
2021-03-22,"[25, 35)",A,152157.0,6982.0
2021-03-22,"[25, 35)",B,74046.0,7777.0
2021-03-22,"[25, 35)",C,23.0,10.0
2021-03-22,"[25, 35)",E,0.0,0.0
2021-03-22,"[35, 45)",A,155207.0,7785.0
2021-03-22,"[35, 45)",B,76226.0,7545.0
2021-03-22,"[35, 45)",C,55.0,40.0
2021-03-22,"[35, 45)",E,0.0,0.0
2021-03-22,"[45, 55)",A,171245.0,9402.0
2021-03-22,"[45, 55)",B,86443.0,7851.0
2021-03-22,"[45, 55)",C,66.0,43.0
2021-03-22,"[45, 55)",E,0.0,0.0
2021-03-22,"[55, 65)",A,181035.0,13784.0
2021-03-22,"[55, 65)",B,92487.0,18558.0
2021-03-22,"[55, 65)",C,132.0,44.0
2021-03-22,"[55, 65)",E,0.0,0.0
2021-03-22,"[65, 75)",A,152196.0,54960.0
2021-03-22,"[65, 75)",B,38835.0,10681.0
2021-03-22,"[65, 75)",C,102.0,31.0
2021-03-22,"[65, 75)",E,0.0,0.0
2021-03-22,"[75, 85)",A,188867.0,156551.0
2021-03-22,"[75, 85)",B,49875.0,6064.0
2021-03-22,"[75, 85)",C,0.0,0.0
2021-03-22,"[75, 85)",E,0.0,0.0
2021-03-22,"[85, 120)",A,233817.0,26290.0
2021-03-22,"[85, 120)",B,87349.0,3847.0
2021-03-22,"[85, 120)",C,0.0,0.0
2021-03-22,"[85, 120)",E,0.0,0.0
