date,NIS,age,dose,CUMULATIVE,INCIDENCE
2020-12-28,35000,"[0, 12)",A,0,0
2020-12-28,35000,"[0, 12)",B,0,0
2020-12-28,35000,"[0, 12)",C,0,0
2020-12-28,35000,"[0, 12)",E,0,0
2020-12-28,35000,"[12, 18)",A,0,0
2020-12-28,35000,"[12, 18)",B,0,0
2020-12-28,35000,"[12, 18)",C,0,0
2020-12-28,35000,"[12, 18)",E,0,0
2020-12-28,35000,"[18, 25)",A,0,0
2020-12-28,35000,"[18, 25)",B,0,0
2020-12-28,35000,"[18, 25)",C,0,0
2020-12-28,35000,"[18, 25)",E,0,0
2020-12-28,35000,"[25, 35)",A,0,12
2020-12-28,35000,"[25, 35)",B,0,0
2020-12-28,35000,"[25, 35)",C,0,0
2020-12-28,35000,"[25, 35)",E,0,0
2020-12-28,35000,"[35, 45)",A,0,17
2020-12-28,35000,"[35, 45)",B,0,0
2020-12-28,35000,"[35, 45)",C,0,0
2020-12-28,35000,"[35, 45)",E,0,0
2020-12-28,35000,"[45, 55)",A,0,25
2020-12-28,35000,"[45, 55)",B,0,0
2020-12-28,35000,"[45, 55)",C,0,0
2020-12-28,35000,"[45, 55)",E,0,0
2020-12-28,35000,"[55, 65)",A,0,28
2020-12-28,35000,"[55, 65)",B,0,0
2020-12-28,35000,"[55, 65)",C,0,0
2020-12-28,35000,"[55, 65)",E,0,0
2020-12-28,35000,"[65, 75)",A,0,34
2020-12-28,35000,"[65, 75)",B,0,0
2020-12-28,35000,"[65, 75)",C,0,0
2020-12-28,35000,"[65, 75)",E,0,0
2020-12-28,35000,"[75, 85)",A,0,95
2020-12-28,35000,"[75, 85)",B,0,0
2020-12-28,35000,"[75, 85)",C,0,0
2020-12-28,35000,"[75, 85)",E,0,0
2020-12-28,35000,"[85, 120)",A,0,241
2020-12-28,35000,"[85, 120)",B,0,0
2020-12-28,35000,"[85, 120)",C,0,0
2020-12-28,35000,"[85, 120)",E,0,0
2020-12-28,36000,"[0, 12)",A,0,0
2020-12-28,36000,"[0, 12)",B,0,0
2020-12-28,36000,"[0, 12)",C,0,0
2020-12-28,36000,"[0, 12)",E,0,0
2020-12-28,36000,"[12, 18)",A,0,0
2020-12-28,36000,"[12, 18)",B,0,0
2020-12-28,36000,"[12, 18)",C,0,0
2020-12-28,36000,"[12, 18)",E,0,0
2020-12-28,36000,"[18, 25)",A,0,0
2020-12-28,36000,"[18, 25)",B,0,0
2020-12-28,36000,"[18, 25)",C,0,0
2020-12-28,36000,"[18, 25)",E,0,0
2020-12-28,36000,"[25, 35)",A,0,0
2020-12-28,36000,"[25, 35)",B,0,0
2020-12-28,36000,"[25, 35)",C,0,0
2020-12-28,36000,"[25, 35)",E,0,0
2020-12-28,36000,"[35, 45)",A,0,0
2020-12-28,36000,"[35, 45)",B,0,0
2020-12-28,36000,"[35, 45)",C,0,0
2020-12-28,36000,"[35, 45)",E,0,0
2020-12-28,36000,"[45, 55)",A,0,11
2020-12-28,36000,"[45, 55)",B,0,0
